City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,48.47,light rain,-46.1927,168.8643,Ellie's Villa
1,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Kindu,CD,69.75,moderate rain,-2.95,25.95,Résidence Okanda
3,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
4,Clyde River,CA,39.43,overcast clouds,70.4692,-68.5914,Qamaq Hotel
5,Kahta,TR,79.97,clear sky,37.7855,38.6237,KommageneİZ Hotel
6,Rakitnoye,RU,55.36,overcast clouds,50.8389,35.8515,Zateryannyy Ray
7,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
13,Yellowknife,CA,48.72,light rain,62.456,-114.3525,The Explorer Hotel
14,Port Alfred,ZA,57.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
15,Hithadhoo,MV,81.73,scattered clouds,-0.6,73.0833,Scoop Guest House
16,Mogadishu,SO,75.88,broken clouds,2.0371,45.3438,Hotel Juba
17,Castro,BR,56.68,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
18,Bredasdorp,ZA,50.92,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
19,Staryy Krym,UA,60.04,clear sky,45.0333,35.1,"Otel' ""Solkhat"""
20,Mar Del Plata,AR,56.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
21,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Rikitea,PF,73.13,clear sky,-23.1203,-134.9692,People ThankYou
23,Madoc,CA,68.72,overcast clouds,44.5084,-77.4745,Quality RV Services & Campground
24,Kargasok,RU,31.86,clear sky,59.0556,80.8572,Hotel Kargasok
25,Trairi,BR,77.83,few clouds,-3.2778,-39.2689,janelas do mar
26,Taraz,KZ,43.21,clear sky,42.9,71.3667,Comfort Inn
27,East London,ZA,61.03,light rain,-33.0153,27.9116,Tu Casa
29,Strezhevoy,RU,33.67,clear sky,60.7333,77.5889,Sibiryachka
30,Dondo,MZ,67.78,clear sky,-19.6094,34.7431,Pensao Casual
31,Port Elizabeth,ZA,55.69,light intensity shower rain,-33.918,25.5701,39 On Nile Guest House
32,The Valley,AI,84.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
33,Hobart,AU,43.05,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
35,Mount Gambier,AU,45.39,overcast clouds,-37.8333,140.7667,The Commodore
36,Thompson,CA,69.96,few clouds,55.7435,-97.8558,Burntwood Hotel
37,Tarko-Sale,RU,36.12,broken clouds,64.9225,77.785,Yubileynaya
38,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
39,Hermanus,ZA,50.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,Olga,RU,59.45,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
41,New Norfolk,AU,42.71,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
44,Mansa,IN,79.03,clear sky,29.9833,75.3833,STARiHOTEL Mansa
45,Pevek,RU,41.18,broken clouds,69.7008,170.3133,Severnoye Zoloto
46,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
47,Ribeira Grande,PT,73.15,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
48,Busselton,AU,57.78,light rain,-33.65,115.3333,Observatory Guest House
50,Xiongzhou,CN,71.89,broken clouds,25.1167,114.3,Xinhewan Business Hotel
52,Aloleng,PH,80.69,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
54,Marawi,PH,68.25,overcast clouds,7.9986,124.2928,Derogongan Residence
55,Ocampo,MX,68.0,scattered clouds,21.65,-101.5,Hotel Estancia del Vaquero
56,Kununurra,AU,73.38,few clouds,-15.7667,128.7333,Hotel Kununurra
57,Cockburn Town,TC,83.93,clear sky,21.4612,-71.1419,Osprey Beach Hotel
59,Paide,EE,44.24,overcast clouds,58.8856,25.5572,Four kings AS
60,Ushuaia,AR,42.46,broken clouds,-54.8,-68.3,Albatross Hotel
61,Paita,PE,66.72,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
62,Katherine,AU,79.12,clear sky,-14.4667,132.2667,Pine Tree Motel
63,Brae,GB,55.74,overcast clouds,60.3964,-1.3530000000000002,Busta House Hotel
64,Port Hardy,CA,64.58,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
65,Barrow,US,35.62,mist,71.2906,-156.7887,King Eider Inn
67,Kunyang,CN,72.41,overcast clouds,27.6658,120.5658,Ruisite Car Hotel
