City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,2022-09-11 22:21:08,-46.1927,168.8643,48.47,62,100,1.97,light rain
1,Puerto Ayora,EC,2022-09-11 22:19:09,-0.7393,-90.3518,75.16,86,75,5.01,broken clouds
2,Kindu,CD,2022-09-11 22:21:09,-2.95,25.95,69.75,98,91,1.3,moderate rain
3,Saint-Philippe,RE,2022-09-11 22:21:10,-21.3585,55.7679,67.59,80,37,8.63,scattered clouds
4,Clyde River,CA,2022-09-11 22:21:10,70.4692,-68.5914,39.43,100,100,5.75,overcast clouds
5,Kahta,TR,2022-09-11 22:21:10,37.7855,38.6237,79.97,18,0,1.52,clear sky
6,Rakitnoye,RU,2022-09-11 22:21:11,50.8389,35.8515,55.36,39,100,13.18,overcast clouds
7,Mahebourg,MU,2022-09-11 22:21:11,-20.4081,57.7,70.09,78,75,3.44,broken clouds
8,Los Llanos De Aridane,ES,2022-09-11 22:21:12,28.6585,-17.9182,71.35,93,0,3.44,clear sky
9,Frontera,MX,2022-09-11 22:21:12,26.9333,-101.45,89.35,40,75,11.5,broken clouds
10,Saskylakh,RU,2022-09-11 22:19:07,71.9167,114.0833,30.04,85,93,6.02,overcast clouds
11,Trapani,IT,2022-09-11 22:21:13,37.8333,12.6667,74.28,78,0,1.14,clear sky
12,Yaan,NG,2022-09-11 22:21:13,7.3833,8.5667,70.75,96,71,4.32,broken clouds
13,Yellowknife,CA,2022-09-11 22:21:14,62.456,-114.3525,48.72,76,100,12.66,light rain
14,Port Alfred,ZA,2022-09-11 22:21:14,-33.5906,26.891,57.18,85,98,3.0,overcast clouds
15,Hithadhoo,MV,2022-09-11 22:17:54,-0.6,73.0833,81.73,72,37,15.01,scattered clouds
16,Mogadishu,SO,2022-09-11 22:17:04,2.0371,45.3438,75.88,86,73,17.34,broken clouds
17,Castro,BR,2022-09-11 22:21:15,-24.7911,-50.0119,56.68,97,99,6.51,overcast clouds
18,Bredasdorp,ZA,2022-09-11 22:21:15,-34.5322,20.0403,50.92,73,95,2.84,overcast clouds
19,Staryy Krym,UA,2022-09-11 22:21:16,45.0333,35.1,60.04,70,1,2.95,clear sky
20,Mar Del Plata,AR,2022-09-11 22:17:04,-38.0023,-57.5575,56.08,82,0,18.01,clear sky
21,Kapaa,US,2022-09-11 22:20:24,22.0752,-159.319,84.18,80,75,6.91,moderate rain
22,Rikitea,PF,2022-09-11 22:21:17,-23.1203,-134.9692,73.13,73,3,6.62,clear sky
23,Madoc,CA,2022-09-11 22:21:17,44.5084,-77.4745,68.72,91,100,4.0,overcast clouds
24,Kargasok,RU,2022-09-11 22:21:17,59.0556,80.8572,31.86,94,4,7.02,clear sky
25,Trairi,BR,2022-09-11 22:16:42,-3.2778,-39.2689,77.83,81,13,12.57,few clouds
26,Taraz,KZ,2022-09-11 22:21:18,42.9,71.3667,43.21,56,1,6.71,clear sky
27,East London,ZA,2022-09-11 22:18:35,-33.0153,27.9116,61.03,74,100,19.19,light rain
28,Virginia Beach,US,2022-09-11 22:17:10,36.8529,-75.978,85.01,89,40,8.05,scattered clouds
29,Strezhevoy,RU,2022-09-11 22:21:19,60.7333,77.5889,33.67,93,8,5.01,clear sky
30,Dondo,MZ,2022-09-11 22:21:20,-19.6094,34.7431,67.78,93,0,5.14,clear sky
31,Port Elizabeth,ZA,2022-09-11 22:17:51,-33.918,25.5701,55.69,96,100,11.5,light intensity shower rain
32,The Valley,AI,2022-09-11 22:21:21,18.217,-63.0578,84.81,74,20,9.22,few clouds
33,Hobart,AU,2022-09-11 22:21:21,-42.8794,147.3294,43.05,73,40,12.66,scattered clouds
34,Hilo,US,2022-09-11 22:21:22,19.7297,-155.09,89.28,65,40,12.66,scattered clouds
35,Mount Gambier,AU,2022-09-11 22:18:56,-37.8333,140.7667,45.39,88,100,4.76,overcast clouds
36,Thompson,CA,2022-09-11 22:21:22,55.7435,-97.8558,69.96,35,20,12.66,few clouds
37,Tarko-Sale,RU,2022-09-11 22:21:22,64.9225,77.785,36.12,80,79,9.75,broken clouds
38,Georgetown,MY,2022-09-11 22:18:27,5.4112,100.3354,78.89,90,20,2.3,few clouds
39,Hermanus,ZA,2022-09-11 22:21:23,-34.4187,19.2345,50.81,67,95,5.64,overcast clouds
40,Olga,RU,2022-09-11 22:21:23,43.7444,135.2892,59.45,82,100,2.33,overcast clouds
41,New Norfolk,AU,2022-09-11 22:21:24,-42.7826,147.0587,42.71,90,55,8.84,broken clouds
42,San Patricio,US,2022-09-11 22:21:24,28.017,-97.5169,93.15,39,34,8.79,scattered clouds
43,Kamenka,RU,2022-09-11 22:21:25,51.3223,42.7678,53.51,46,100,11.81,light rain
44,Mansa,IN,2022-09-11 22:21:25,29.9833,75.3833,79.03,70,0,6.42,clear sky
45,Pevek,RU,2022-09-11 22:21:25,69.7008,170.3133,41.18,71,60,5.77,broken clouds
46,Cayenne,GF,2022-09-11 22:19:11,4.9333,-52.3333,80.64,74,0,3.44,clear sky
47,Ribeira Grande,PT,2022-09-11 22:21:26,38.5167,-28.7,73.15,79,100,22.17,overcast clouds
48,Busselton,AU,2022-09-11 22:21:26,-33.65,115.3333,57.78,88,58,8.25,light rain
49,Batagay-Alyta,RU,2022-09-11 22:21:27,67.8006,130.4114,34.65,58,100,3.02,overcast clouds
50,Xiongzhou,CN,2022-09-11 22:21:27,25.1167,114.3,71.89,65,74,0.65,broken clouds
51,Lavrentiya,RU,2022-09-11 22:21:28,65.5833,-171.0,46.04,73,100,19.46,overcast clouds
52,Aloleng,PH,2022-09-11 22:21:28,16.1307,119.7824,80.69,78,98,6.71,overcast clouds
53,Masuguru,TZ,2022-09-11 22:21:29,-11.3667,38.4167,71.74,71,21,6.04,few clouds
54,Marawi,PH,2022-09-11 22:21:29,7.9986,124.2928,68.25,91,97,3.56,overcast clouds
55,Ocampo,MX,2022-09-11 22:21:29,21.65,-101.5,68.0,47,40,16.33,scattered clouds
56,Kununurra,AU,2022-09-11 22:16:54,-15.7667,128.7333,73.38,83,21,0.0,few clouds
57,Cockburn Town,TC,2022-09-11 22:21:30,21.4612,-71.1419,83.93,73,2,11.14,clear sky
58,Provideniya,RU,2022-09-11 22:21:30,64.3833,-173.3,44.71,93,100,17.9,light intensity shower rain
59,Paide,EE,2022-09-11 22:21:30,58.8856,25.5572,44.24,81,100,4.63,overcast clouds
60,Ushuaia,AR,2022-09-11 22:17:23,-54.8,-68.3,42.46,61,75,21.85,broken clouds
61,Paita,PE,2022-09-11 22:21:31,-5.0892,-81.1144,66.72,75,4,19.64,clear sky
